"citation.ID","citation.doi","citation.author","citation.year","citation.title","NEW_RECORD"
"Guariguata_1997_safo","NAC","Guariguata",1997,"Structure and floristics of secondary and old-growth forest stands in lowland Costa Rica",TRUE
"Juo_1996_spac","NAC","Juo",1996,"Soil properties and crop performance on a kaolinitic Alfisol after 15 years of fallow and continuous cultivation",TRUE
"Montagnini_1995_tpoi","NAC","Montagnini",1995,"The potentials of 20 indigenous tree species for soil rehabilitation in the Atlantic forest region of Bahia, Brazil",TRUE
"COOK_1992_doio","NAC","COOK",1992,"DISSOLVED ORGANIC-CARBON IN OLD FIELD SOILS - TOTAL AMOUNTS AS A MEASURE OF AVAILABLE RESOURCES FOR SOIL MINERALIZATION",TRUE
"LUGO_1992_cott","NAC","LUGO",1992,"COMPARISON OF TROPICAL TREE PLANTATIONS WITH SECONDARY FORESTS OF SIMILAR AGE",TRUE
"CUEVAS_1991_aabo","NAC","CUEVAS",1991,"ABOVEGROUND AND BELOWGROUND ORGANIC-MATTER STORAGE AND PRODUCTION IN A TROPICAL PINE PLANTATION AND A PAIRED BROADLEAF SECONDARY FOREST",TRUE
"Vester_1998_taas","NAC","Vester",1998,"Tree architecture and secondary tropical rain forest development - a case study in Araracuara, Colombian Amazoni",TRUE
"Piotto_2011_sdof","NAC","Piotto",2011,"Spatial Dynamics of Forest Recovery after Swidden Cultivation in the Atlantic Forest of Southern Bahia",TRUE
"Ibrahim_2006_adce","NAC","Ibrahim",2006,"Almacenamiento de Carbono en el suelo y la biomasa arbórea en sistemas de usos de la tierra en paisajes ganaderos de Colombia, Costa Rica y Nicaragua",TRUE
"Palm_1999_csat","NAC","Palm",1999,"Carbon sequestration and trace gas emissions in slash-and-burn and alternative land-uses in the humid tropics",TRUE
"Buschbacher_1988_apie","NAC","Buschbacher",1988,"Abandoned pastures in eastern Amazonia II. Nutrient stocks in the soil and vegetation",TRUE
"Brown_1990_eofc","NAC","Brown",1990,"Effects of forest clearing and succession on the carbon and nitrogen content of soils in Puerto Rico and US Virgin Islands",TRUE
"Lugo_1986_luao","NAC","Lugo",1986,"Land use and organic carbon content of some subtropical soils",TRUE
"Wadsworth_1990_eolo","NAC","Wadsworth",1990,"Effects of length of forest fallow on fertility dynamics in a Mexican ultisol",TRUE
"Werner_1984_cisp","NAC","Werner",1984,"Changes in soil properties during tropical wet forest succession in Costa Rica",TRUE
"Armolaitis_2011_roai","NAC","Armolaitis",2011,"Renaturalization of Arenosols in the land afforested with Scots pine (Pinus sylvestris L.) and abandoned arable land",TRUE
"Myster_2017_gevd","NAC","Myster",2017,"Gradient (elevation) vs. disturbance (agriculture) effects on primary cloud forest in Ecuador: floristics and physical structure",TRUE
"Ali_2017_cmol","NAC","Ali",2017,"Community-weighted mean of leaf traits and divergence of wood traits predict aboveground biomass in secondary subtropical forests",TRUE
"Yazaki_2016_baan","NAC","Yazaki",2016,"Biomass Accumulation and Net Primary Production during the Early Stage of Secondary Succession after a Severe Forest Disturbance in Northern Japan",TRUE
"Chan_2016_ttaf","NAC","Chan",2016,"The Transition Away From Swidden Agriculture and Trends in Biomass Accumulation in Fallow Forests",TRUE
"Silva_2016_faso","NAC","Silva",2016,"Floristic and structure of an Amazonian primary forest and a chronosequence of secondary succession",TRUE
"Ishihara_2016_anmf","NAC","Ishihara",2016,"A New Model for Size-Dependent Tree Growth in Forests",TRUE
"Otuoma_2016_doac","NAC","Otuoma",2016,"Determinants of aboveground carbon offset additionality in plantation forests in a moist tropical forest in western Kenya",TRUE
"Spracklen_2016_csas","NAC","Spracklen",2016,"Carbon storage and sequestration of re-growing montane forests in southern Ecuador",TRUE
"Mukul_2016_tsfr","NAC","Mukul",2016,"Tropical secondary forests regenerating after shifting cultivation in the Philippines uplands are important carbon sinks",TRUE
"Poorter_2016_bron","NAC","Poorter",2016,"Biomass resilience of Neotropical secondary forests",TRUE
"McNicol_2015_doam","NAC","McNicol",2015,"Development of allometric models for above and belowground biomass in swidden cultivation fallows of Northern Laos",TRUE
"Wandelli_2015_svic","NAC","Wandelli",2015,"Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass",TRUE
