site.id,study.id,site.sitename,site.state,site.country,lat_dec,long_dec,elevation,AMT,AMP,soil.classification
14103,12001,JFL01-2,Hainan,China,18.73395,108.850583,1031,18.814,3222.440144,Yellow earths
14104,12001,JFL01-3,Hainan,China,18.743333,108.86935,831,20.014,2692.550741,Brick yellow soil
14105,12001,JFL01-4,Hainan,China,18.7345,108.869567,913,19.522,2898.361092,Brick yellow soil
14106,12001,JFL01-5,Hainan,China,18.743667,108.879083,853,19.882,2746.288777,Brick yellow soil
14107,12001,JFL01-6,Hainan,China,18.743333,108.850817,927,19.438,2935.039554,Brick yellow soil
14108,12001,JFL01-7,Hainan,China,18.734617,108.860367,943,19.342,2977.526501,Brick yellow soil
14109,12001,JFL01-8,Hainan,China,18.734533,108.8791,1015,18.91,3176.458474,Yellow earths
14110,12001,JFL01-9201,Hainan,China,18.729717,108.88995,893,19.642,2846.756984,Brick yellow soil
14111,12001,JFL01-10,Hainan,China,18.7529,108.897983,820,20.08,2666.077338,Brick yellow soil
14112,12001,JFL01-11,Hainan,China,18.7525,108.878933,883,19.702,2821.300505,Brick yellow soil
14113,12001,JFL01-12,Hainan,China,18.761483,108.879017,968,19.192,3045.146954,Brick yellow soil
14114,12001,JFL01-13,Hainan,China,18.77065,108.87885,973,19.162,3058.854221,Brick yellow soil
14115,12001,JFL01-14,Hainan,China,18.75245,108.869317,909,19.546,2887.965972,Brick yellow soil
14116,12001,JFL01-15,Hainan,China,18.752683,108.9072,777,20.338,2565.064182,Brick yellow soil
14117,12001,JFL01-16,Hainan,China,18.753067,108.916833,722,20.668,2441.419851,Brick yellow soil
14118,12001,JFL01-17,Hainan,China,18.755983,108.926233,687,20.878,2365.8587,Brick yellow soil
14119,12001,JFL01-18,Hainan,China,18.74415,108.843333,1113,18.322,3468.753622,Yellow earths
14120,12001,JFL01-19,Hainan,China,18.725583,108.8887,926,19.444,2932.40434,Brick yellow soil
14121,12001,JFL01-20,Hainan,China,18.734767,108.888583,940,19.36,2969.513616,Brick yellow soil
14122,12001,JFL01-21,Hainan,China,18.761417,108.86005,960,19.24,3023.342975,Brick yellow soil
14123,12001,JFL01-22,Hainan,China,18.752283,108.860033,935,19.39,2956.2067,Brick yellow soil
14124,12001,JFL01-23,Hainan,China,18.761467,108.868883,1083,18.502,3376.527643,Yellow earths
14125,12001,JFL01-24,Hainan,China,18.734883,108.898033,881,19.714,2816.236591,Brick yellow soil
14126,12001,JFL01-25,Hainan,China,18.76165,108.888083,920,19.48,2916.642667,Brick yellow soil
14127,12001,JFL01-26,Hainan,China,18.725783,108.897883,880,19.72,2813.708044,Brick yellow soil
14128,12001,JFL01-27,Hainan,China,18.752317,108.85045,973,19.162,3058.854221,Brick yellow soil
14129,12001,JFL01-28,Hainan,China,18.725633,108.8606,1125,18.25,3506.345535,Yellow earths
14130,12001,JFL01-29,Hainan,China,18.725183,108.869617,1062,18.628,3313.432352,Yellow earths
14131,12001,JFL01-30,Hainan,China,18.71775,108.847133,586,21.484,2160.668879,humid-thermo ferrralitic
14132,12001,JFL01-31,Hainan,China,18.72665,108.84705,710,20.74,2415.245122,Brick yellow soil
14133,12001,JFL01-32,Hainan,China,18.745583,108.884817,920,19.48,2916.642667,Brick yellow soil
14134,12001,JFL01-33,Hainan,China,18.745933,108.894367,925,19.45,2929.771492,Brick yellow soil
14135,12001,JFL01-34,Hainan,China,18.74665,108.922567,711,20.734,2417.41559,Brick yellow soil
14136,12001,JFL01-35,Hainan,China,18.745667,108.903483,935,19.39,2956.2067,Brick yellow soil
14137,12001,JFL01-36,Hainan,China,18.745683,108.913183,878,19.732,2808.657758,Brick yellow soil
14138,12001,JFL01-37,Hainan,China,18.800117,108.893517,841,19.954,2716.845516,Brick yellow soil
14139,12001,JFL01-38,Hainan,China,18.7912,108.9037,876,19.744,2803.616537,Brick yellow soil
14140,12001,JFL01-39,Hainan,China,18.790633,108.894067,756,20.464,2517.132257,Brick yellow soil
14141,12001,JFL01-40,Hainan,China,18.78135,108.884767,952,19.288,3001.695118,Brick yellow soil
14142,12001,JFL01-41,Hainan,China,18.782317,108.893983,936,19.384,2958.863304,Brick yellow soil
14143,12001,JFL01-42,Hainan,China,18.800417,108.902983,1031,18.814,3222.440144,Yellow earths
14144,12001,JFL01-43,Hainan,China,18.799883,108.912683,946,19.324,2985.561007,Brick yellow soil
14145,12001,JFL01-44,Hainan,China,18.772483,108.885033,1010,18.94,3162.224201,Yellow earths
14146,12001,JFL01-45,Hainan,China,18.791,108.912833,921,19.474,2919.263717,Brick yellow soil
14147,12001,JFL01-46,Hainan,China,18.77305,108.8941,983,19.102,3086.454138,Brick yellow soil
14148,12001,JFL01-47,Hainan,China,18.80025,108.92145,978,19.132,3072.62319,Brick yellow soil
14149,12001,JFL01-48,Hainan,China,18.790667,108.884517,689,20.866,2370.112783,Brick yellow soil
14150,12001,JFL01-49,Hainan,China,18.799883,108.883967,506,21.964,2010.850723,humid-thermo ferrralitic
14151,12001,JFL01-50,Hainan,China,18.76305,108.894117,915,19.51,2903.572675,Brick yellow soil
14152,12001,JFL01-51,Hainan,China,18.809133,108.893467,627,21.238,2241.725924,humid-thermo ferrralitic
14153,12001,JFL01-52,Hainan,China,18.7912,108.87605,583,21.502,2154.854258,humid-thermo ferrralitic
14154,12001,JFL01-53,Hainan,China,18.80885,108.902317,952,19.288,3001.695118,Brick yellow soil
14155,12001,JFL01-54,Hainan,China,18.73655,108.92345,926,19.444,2932.40434,Brick yellow soil
14156,12001,JFL01-55,Hainan,China,18.728067,108.923,839,19.966,2711.969087,Brick yellow soil
14157,12001,JFL01-56,Hainan,China,18.7277,108.8756,1004,18.976,3145.227246,Yellow earths
14158,12001,JFL01-57,Hainan,China,18.76395,108.9131,838,19.972,2709.534156,Brick yellow soil
14159,12001,JFL01-58,Hainan,China,18.763833,108.9038,874,19.756,2798.584364,Brick yellow soil
14160,12001,JFL01-59,Hainan,China,18.73695,108.91315,974,19.156,3061.60307,Brick yellow soil
14161,12001,JFL01-60,Hainan,China,18.736933,108.9037,981,19.114,3080.914303,Brick yellow soil
14162,12001,JFL01-61,Hainan,China,18.7278,108.904133,879,19.726,2811.181767,Brick yellow soil
14163,12001,JFL01-62,Hainan,China,18.7277,108.913617,904,19.576,2875.024485,Brick yellow soil
14164,12001,JFL01-63,Hainan,China,18.718417,108.894267,1068,18.592,3331.338295,Yellow earths
14165,12001,JFL01-64,Hainan,China,18.718783,108.903617,1131,18.214,3525.29399,Yellow earths
14166,12001,JFL01-65,Hainan,China,18.7187,108.885217,1084,18.496,3379.56197,Yellow earths
14167,12001,JFL01-66,Hainan,China,18.7173,108.8571,638,21.172,2263.985636,humid-thermo ferrralitic
14168,12001,JFL01-67,Hainan,China,18.70885,108.856133,538,21.772,2069.489302,humid-thermo ferrralitic
14169,12001,JFL01-68,Hainan,China,18.7086,108.875667,865,19.81,2776.051125,Brick yellow soil
14170,12001,JFL01-69,Hainan,China,18.70905,108.866083,747,20.518,2496.865174,Brick yellow soil
14171,12001,JFL01-70,Hainan,China,18.709333,108.894033,1095,18.43,3413.120075,Yellow earths
14172,12001,JFL01-71,Hainan,China,18.709683,108.903933,862,19.828,2768.580435,Brick yellow soil
14173,12001,JFL01-72,Hainan,China,18.709633,108.884983,949,19.306,2993.617193,Brick yellow soil
14174,12001,JFL01-73,Hainan,China,18.70955,108.91345,709,20.746,2413.076604,Brick yellow soil
14175,12001,JFL01-74,Hainan,China,18.70895,108.847333,427,22.438,1873.102533,humid-thermo ferrralitic
14176,12001,JFL01-75,Hainan,China,18.716283,108.877367,1265,17.41,3976.210664,Yellow earths
14177,12001,JFL01-76,Hainan,China,18.718517,108.865367,850,19.9,2738.898182,Brick yellow soil
14178,12001,JFL01-77,Hainan,China,18.791467,108.949717,796,20.224,2609.21717,Brick yellow soil
14179,12001,JFL01-78,Hainan,China,18.782317,108.950233,629,21.226,2245.756802,humid-thermo ferrralitic
14180,12001,JFL01-79,Hainan,China,18.773417,108.949817,418,22.492,1858.020956,humid-thermo ferrralitic
