study.id,citations.author,citations.year,Code2,Count,citations.journal,citations.title
9835,Scott,2000,yes,1,CANADIAN JOURNAL OF FORESTRESEARCH 30:1246-1255,Carbon and nitrogen distribution and accumulation in a New Zealand scrubland ecosystem
9892,Rhoades,2000,yes,1,ECOLOGICAL APPLICATIONS 10:497-505 ,"Soil carbon differences among forest, agriculture, and secondary vegetation in lower montane Ecuador"
9956,Sommer,2000,yes,1,PLANT AND SOIL 219:231-241,"Carbon storage and root penetration in deep soils under small-farmer land-use systems in the Eastern Amazon region, Brazil"
10007,Hughes,1999,yes,1,ECOLOGY 80:1892-1907  ,"Biomass, carbon, and nutrient dynamics of secondary forests in a humid tropical region of Mexico"
10030,de Camargo,1999,yes,1,GLOBAL CHANGE BIOLOGY 5:693-702,Soil carbon dynamics in regrowing forest of eastern Amazonia
10323,Guariguata,1997,yes,1,PLANT ECOLOGY 132:107-120 ,Structure and floristics of secondary and old-growth forest stands in lowland Costa Rica
10508,Juo,1996,yes,1,PLANT AND SOIL 180:209-217,Soil properties and crop performance on a kaolinitic Alfisol after 15 years of fallow and continuous cultivation
10570,Montagnini,1995,yes,1,JOURNAL OF APPLIED ECOLOGY 32:841-856,"The potentials of 20 indigenous tree species for soil rehabilitation in the Atlantic forest region of Bahia, Brazil"
10823,Faber-Langendoen,1992,yes,1,FOREST ECOLOGY AND MANAGEMENT 53:213-244,"ECOLOGICAL CONSTRAINTS ON RAIN-FOREST MANAGEMENT AT BAJO CALIMA, WESTERN COLOMBIA"
10854,COOK,1992,yes,1,SOIL BIOLOGY & BIOCHEMISTRY 24:585-594,DISSOLVED ORGANIC-CARBON IN OLD FIELD SOILS - TOTAL AMOUNTS AS A MEASURE OF AVAILABLE RESOURCES FOR SOIL MINERALIZATION
10860,LUGO,1992,yes,1,ECOLOGICAL MONOGRAPHS 62:1-41 ,COMPARISON OF TROPICAL TREE PLANTATIONS WITH SECONDARY FORESTS OF SIMILAR AGE
10887,CUEVAS,1991,yes,1,PLANT AND SOIL 135:257-268,ABOVEGROUND AND BELOWGROUND ORGANIC-MATTER STORAGE AND PRODUCTION IN A TROPICAL PINE PLANTATION AND A PAIRED BROADLEAF SECONDARY FOREST
10940,Vester,1998,yes,1,Flora 193:75–97,"Tree architecture and secondary tropical rain forest development - a case study in Araracuara, Colombian Amazoni"
10949,Piotto,2011,yes,1,"PhD Thesis. Yale University. Spatial dynamics of forest recovery after swidden cultivation in the Atlantic forest of southern Bahia, Brazil.",Spatial Dynamics of Forest Recovery after Swidden Cultivation in the Atlantic Forest of Southern Bahia
10968,Uhl,1984,yes,1,Ecology 65:1476–1490 ,Succession and nutrient dynamics following forest cutting and burning in Amazonia
10972,Cifuentes-Jara,2008,yes,1,PhD Thesis. Oregon State University,Aboveground Biomass and Ecosystem Carbon Pools in Tropical Secondary Forests Growing in Six Life Zones of Costa Rica
11111,Williams-Linera,1983,yes,1,Biotropica 15: 275-284 ,"Biomass and nutrient content in two successional stages of tropical wet forest in Uxpanapa, Mexico."
11166,Uri,2012,yes,1,Forest Ecology and Management 267:117-126,Biomass production and carbon sequestration in a fertile silver birch forest chronosequence
11189,Ibrahim,2006,yes,1,Agroforestería en las Américas 45:27-36,"Almacenamiento de Carbono en el suelo y la biomasa arbórea en sistemas de usos de la tierra en paisajes ganaderos de Colombia, Costa Rica y Nicaragua"
11204,Palm,1999,yes,1,"In:Ericksen (ed). ASB Climate Change Working Group Final Report Phase II. Nairobi,Kenya",Carbon sequestration and trace gas emissions in slash-and-burn and alternative land-uses in the humid tropics
11231,Buschbacher,1988,yes,1,Journal of Ecology 76:682-699,Abandoned pastures in eastern Amazonia II. Nutrient stocks in the soil and vegetation
11256,Sierra,2012,yes,1,Carbon Balance and Management 7:12,Total carbon accumulation in a tropical forest landscape
11282,Boone,1988,yes,1,Ecology 69:714-722,Stand and soil changes along a Mountain Hemlock death and regrowth sequence
