"","IPCC","country","checked","measurement.id","plot.id","site.id","study.id","citations.title","sites.sitename","refor.type","Species","prior","prior.duration","stand.age","date","n","sub_n","plot.size","area..plot.number.x.plot.size.","variables.name","mean_ha","covar_1","coV1_value","covar_2","coV2_value","covar_3","coV3_value","density","sand.silt.clay","pH","allometry","measurements.notes","X"
"6089",0,"China","SCC",6035,3938,8920,11419,"Productivity as related to diversity and age in planted versus natural forests","Baiyu Sichuan","SNR","Populus davidiana",NA,NA,45,NA,15,NA,0.01,"","belowground_biomass",53.84,NA,NA,NA,NA,NA,NA,2300,NA,NA,"site-specific-harvest","",NA
"6090",0,"China","SCC",6036,5140,8921,11419,"Productivity as related to diversity and age in planted versus natural forests","Baojing Huayuan Baiyunyan Hunan","SNR","Cupressus funebris Endl.",NA,NA,20,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",5.84,"min_dbh",2,NA,NA,NA,NA,1800,NA,NA,"site-specific-harvest","",NA
"6091",0,"China","SCC",6037,5140,8921,11419,"Productivity as related to diversity and age in planted versus natural forests","Baojing Huayuan Baiyunyan Hunan","SNR","Cupressus funebris Endl.",NA,NA,20,NA,15,NA,0.01,"","belowground_biomass",1.34,NA,NA,NA,NA,NA,NA,1800,NA,NA,"site-specific-harvest","",NA
"6092",0,"China","SCC",6038,5119,8922,11419,"Productivity as related to diversity and age in planted versus natural forests","Baojing Hunan 1","SNR","Cunninghamia lanceolata",NA,NA,22,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",23.92,"min_dbh",2,NA,NA,NA,NA,785,NA,NA,"site-specific-harvest","",NA
"6093",0,"China","SCC",6039,5119,8922,11419,"Productivity as related to diversity and age in planted versus natural forests","Baojing Hunan 1","SNR","Cunninghamia lanceolata",NA,NA,22,NA,15,NA,0.01,"","belowground_biomass",4.53,NA,NA,NA,NA,NA,NA,785,NA,NA,"site-specific-harvest","",NA
"6094",0,"China","SCC",6040,5120,8923,11419,"Productivity as related to diversity and age in planted versus natural forests","Baojing Hunan 2","SNR","Pinus massoniana Lamb.",NA,NA,10,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",47.36,"min_dbh",2,NA,NA,NA,NA,7314,NA,NA,"site-specific-harvest","",NA
"6095",0,"China","SCC",6041,5120,8923,11419,"Productivity as related to diversity and age in planted versus natural forests","Baojing Hunan 2","SNR","Pinus massoniana Lamb.",NA,NA,10,NA,15,NA,0.01,"","belowground_biomass",7.72,NA,NA,NA,NA,NA,NA,7314,NA,NA,"site-specific-harvest","",NA
"6096",1,"China","SCC",6042,6287,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,18,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",31.15,"min_dbh",2,NA,NA,NA,NA,750,NA,NA,"site-specific-harvest","",NA
"6097",0,"China","SCC",6043,6287,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,18,NA,15,NA,0.01,"","belowground_biomass",4.27,NA,NA,NA,NA,NA,NA,750,NA,NA,"site-specific-harvest","",NA
"6098",1,"China","SCC",6044,6288,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,16,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",34.33,"min_dbh",2,NA,NA,NA,NA,900,NA,NA,"site-specific-harvest","",NA
"6099",0,"China","SCC",6045,6288,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,16,NA,15,NA,0.01,"","belowground_biomass",4.69,NA,NA,NA,NA,NA,NA,900,NA,NA,"site-specific-harvest","",NA
"6100",1,"China","SCC",6046,6289,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,19,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",39.57,"min_dbh",2,NA,NA,NA,NA,1005,NA,NA,"site-specific-harvest","",NA
"6101",0,"China","SCC",6047,6289,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,19,NA,15,NA,0.01,"","belowground_biomass",5.41,NA,NA,NA,NA,NA,NA,1005,NA,NA,"site-specific-harvest","",NA
"6102",1,"China","SCC",6048,6290,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,16,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",40.43,"min_dbh",2,NA,NA,NA,NA,1445,NA,NA,"site-specific-harvest","",NA
"6103",0,"China","SCC",6049,6290,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,16,NA,15,NA,0.01,"","belowground_biomass",5.45,NA,NA,NA,NA,NA,NA,1445,NA,NA,"site-specific-harvest","",NA
"6104",1,"China","SCC",6050,6291,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,17,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",45.56,"min_dbh",2,NA,NA,NA,NA,1110,NA,NA,"site-specific-harvest","",NA
"6105",0,"China","SCC",6051,6291,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,17,NA,15,NA,0.01,"","belowground_biomass",6.24,NA,NA,NA,NA,NA,NA,1110,NA,NA,"site-specific-harvest","",NA
"6106",1,"China","SCC",6052,6292,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,23,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",52.02,"min_dbh",2,NA,NA,NA,NA,660,NA,NA,"site-specific-harvest","",NA
"6107",0,"China","SCC",6053,6292,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,23,NA,15,NA,0.01,"","belowground_biomass",7.21,NA,NA,NA,NA,NA,NA,660,NA,NA,"site-specific-harvest","",NA
"6108",1,"China","SCC",6054,6293,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,18,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",54.3,"min_dbh",2,NA,NA,NA,NA,870,NA,NA,"site-specific-harvest","",NA
"6109",0,"China","SCC",6055,6293,8924,11419,"Productivity as related to diversity and age in planted versus natural forests","Boluo Guangdong","SNR","Pinus massoniana Lamb.",NA,NA,18,NA,15,NA,0.01,"","belowground_biomass",7.52,NA,NA,NA,NA,NA,NA,870,NA,NA,"site-specific-harvest","",NA
"6110",0,"China","SCC",6056,4594,8925,11419,"Productivity as related to diversity and age in planted versus natural forests","Ceheng Guizhou 1","SNR","Alphonsea motlis",NA,NA,20,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",0.27,"min_dbh",2,NA,NA,NA,NA,30,NA,NA,"site-specific-harvest","",NA
"6111",0,"China","SCC",6057,4594,8925,11419,"Productivity as related to diversity and age in planted versus natural forests","Ceheng Guizhou 1","SNR","Alphonsea motlis",NA,NA,20,NA,15,NA,0.01,"","belowground_biomass",0.04,NA,NA,NA,NA,NA,NA,30,NA,NA,"site-specific-harvest","",NA
"6112",0,"China","SCC",6058,4595,8925,11419,"Productivity as related to diversity and age in planted versus natural forests","Ceheng Guizhou 1","SNR","Sarcosperma laurinum (Benth) Hook f",NA,NA,20,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",1.23,"min_dbh",2,NA,NA,NA,NA,60,NA,NA,"site-specific-harvest","",NA
"6113",0,"China","SCC",6059,4595,8925,11419,"Productivity as related to diversity and age in planted versus natural forests","Ceheng Guizhou 1","SNR","Sarcosperma laurinum (Benth) Hook f",NA,NA,20,NA,15,NA,0.01,"","belowground_biomass",0.24,NA,NA,NA,NA,NA,NA,60,NA,NA,"site-specific-harvest","",NA
"6114",0,"China","SCC",6060,4596,8925,11419,"Productivity as related to diversity and age in planted versus natural forests","Ceheng Guizhou 1","SNR","Trevesia palmata(Roxb. )Vis.",NA,NA,20,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",1.65,"min_dbh",2,NA,NA,NA,NA,80,NA,NA,"site-specific-harvest","",NA
"6115",0,"China","SCC",6061,4596,8925,11419,"Productivity as related to diversity and age in planted versus natural forests","Ceheng Guizhou 1","SNR","Trevesia palmata(Roxb. )Vis.",NA,NA,20,NA,15,NA,0.01,"","belowground_biomass",0.32,NA,NA,NA,NA,NA,NA,80,NA,NA,"site-specific-harvest","",NA
"6116",0,"China","SCC",6062,4597,8925,11419,"Productivity as related to diversity and age in planted versus natural forests","Ceheng Guizhou 1","SNR","Cleidion brevipetiolatum Pax et Hoffm.",NA,NA,20,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",2.52,"min_dbh",2,NA,NA,NA,NA,70,NA,NA,"site-specific-harvest","",NA
"6117",0,"China","SCC",6063,4597,8925,11419,"Productivity as related to diversity and age in planted versus natural forests","Ceheng Guizhou 1","SNR","Cleidion brevipetiolatum Pax et Hoffm.",NA,NA,20,NA,15,NA,0.01,"","belowground_biomass",0.52,NA,NA,NA,NA,NA,NA,70,NA,NA,"site-specific-harvest","",NA
"6118",0,"China","SCC",6064,4598,8925,11419,"Productivity as related to diversity and age in planted versus natural forests","Ceheng Guizhou 1","SNR",NA,NA,NA,40,NA,15,NA,0.01,"","aboveground_biomass + understory_biomass",5.27,"min_dbh",2,NA,NA,NA,NA,50,NA,NA,"site-specific-harvest","",NA
