checked,study.id,IPCC ,Soil,citations.author,citations.year,Code2,Count,citations.journal,citations.title,Entered,citations.notes,data remaining,ForCdb,Poorter,Bonner
SCC,3701,1,0,Giday,2013,yes,1,JOURNAL OF ARID ENVIRONMENTS 94:80-86,"Wood biomass functions for Acacia abyssinica trees and shrubs and implications for provision of ecosystem services in a community managed exclosure in Tigray, Ethiopia",3/30/2018,,,,,
SCC,3748,2,1,de Aguiar,2013,yes,1,AGROFORESTRY SYSTEMS 87:699-711 ,Does biomass production depend on plant community diversity?,3/30/2018,,other reforestation types,,,
SCC,3773,2,1,Orihuela-Belmonte,2013,yes,1,AGRICULTURE ECOSYSTEMS & ENVIRONMENT171:72-84,"Carbon stocks and accumulation rates in tropical secondary forests at the scale of community, landscape and forest type",3/30/2018,"In Anderson-Teixeira 2016, but that dataset mixes carbon and biomass numbers. Used average %C to calculate carbon. In Poorter 2016, but extracted original data because original also had other carbon pools and the two were not directly comparable so I could not keep Poorter ABG estimates",,1,1,
SCC,3871,0,1,Li,2013,yes,1,FORESTRY CHRONICLE 89:191-197 ,Carbon and nitrogen distribution across a chronosequence of secondary lacebark pine in China,3/30/2018,,,,,
,3953,0,0,Zhang,2013,yes,1,SOIL BIOLOGY & BIOCHEMISTRY57:803-813,"Linking litter production, quality and decomposition to vegetation succession following agricultural abandonment",3/30/2018,,>40 year forests,,,
SCC,4045,0,1,Armolaitis,2013,yes,1,ZEMDIRBYSTE-AGRICULTURE 100:227-234  ,Stability of soil organic carbon in agro and forest ecosystems on Arenosol,3/30/2018,soil only,other reforestation types,,,
SCC,4149,0,1,Fortier,2013,yes,1,SPRINGERPLUS 2:539,"Root biomass and soil carbon distribution in hybrid poplar riparian buffers, herbaceous riparian buffers and natural riparian woodlots on farmland",3/30/2018,,,,,
SCC,4241,2,0,Martins,2012,yes,1,JOURNAL OF TROPICAL ECOLOGY 28:591-601,Effects of fire on above-ground forest biomass in the northern Brazilian Amazon,3/30/2018,,,,,
SCC,4262,1,0,Raharimalala,2012,yes,1,JOURNAL OF TROPICAL FORESTSCIENCE 24:474-489,"QUANTIFYING BIOMASS OF SECONDARY FOREST AFTER SLASH-AND-BURN CULTIVATION IN CENTRAL MENABE, MADAGASCAR",3/30/2018,,,,,
SCC,4322,0,1,Cao,2012,yes,1,ECOLOGICAL RESEARCH 27:883-892 ,Pattern of carbon allocation across three different stages of stand development of a Chinese pine (Pinus tabulaeformis) forest,3/30/2018,,,,,
SCC,4395,0,1,Ross,2012,yes,1,ECOSYSTEMS 15:725-740  ,Ecosystem Carbon Remains Low for Three Decades Following Fire and Constrains Soil CO2 Responses to Precipitation in Southwestern Ponderosa Pine Forests,3/31/2018,,,,,
SCC,4404,0,1,Bautista-Cruz,2012,yes,1,FOREST ECOLOGY AND MANAGEMENT 277:74-80,Selection and interpretation of soil quality indicators for forest recovery after clearing of a tropical montane cloud forest in Mexico,3/31/2018,,,,,
SCC,4457,0,1,Zhu,2012,yes,1,EUROPEAN JOURNAL OF SOIL BIOLOGY 51:1-7,"Interactions of vegetation succession, soil bio-chemical properties and microbial communities in a Karst ecosystem",3/31/2018,,35 and older,,,
SL,4476,0,0,Huffman,2012,yes,1,FOREST ECOLOGY AND MANAGEMENT274:29-37,Influence of time since fire on pinyon-juniper woodland structure,3/31/2018,,older than 30 years,,,
SCC,4491,0,1,Powers,2012,yes,1,ECOLOGICAL APPLICATIONS 22:1297-1307 ,Carbon stocks across a chronosequence of thinned and unmanaged red pine (Pinus resinosa) stands,4/2/2018,only extracted data from unthinned stands,,,,
SCC,4581,0,1,Wang,2012,yes,1,CATENA 92:186-195  ,"Changes in soil nutrient and enzyme activities under different vegetations in the Loess Plateau area, Northwest China",5/7/2018,,,,,
SCC,4757,0,1,Gamboa,2012,yes,1,GEODERMA 170:390-402  ,Land-use/cover change effects and carbon controls on volcanic soil profiles in highland temperate forests,4/4/2018,"soil only, pulled all young forest data and that from current crop and grassland",,,,
SCC,4772,0,1,Koul,2012,yes,1,ANNALS OF FOREST RESEARCH 55:253-264,"Soil carbon buildup and bioeconomics of different lanuduses in humid subtropics of West Bengal, India",4/4/2018,"soil only, no sample date so age of forests beyond 15 year old is unclear, took data from STOCK not INVENTORY (units?)","other reforestation types, natural Shorea forest",,,
SL,4810,0,0,Carswell,2012,yes,1,NEW ZEALAND JOURNAL OFECOLOGY36:191-202,Carbon and plant diversity gain during 200 years of woody succession in lowland New Zealand,4/4/2018,,,,,
SCC,4833,0,1,Danquah,2012,yes,1,INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY 14:321-328,Effect of African Mahogany Species on Soil Chemical Properties in Degraded Dry Semi-deciduous Forest Ecosystems in Ghana,4/4/2018,"SNR, DP",DP,,,
SCC,4839,2,0,Hilje,2012,yes,1,Tropical Conservation Science 5:25-37,Calling activity of the common tink frog (Diasporus diastema) (Eleutherodactylidae) in secondary forests of the Caribbean of Costa Rica,5/4/2018,from Meli 2017,,,,
SCC,4869,0,1,Cuesta,2012,yes,1,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY 38:58-65  ,Soil chemical properties in abandoned Mediterranean cropland after succession and oak reforestation,4/4/2018,,,,,
SCC,4923,0,1,Alberti,2011,yes,1,REGIONAL ENVIRONMENTAL CHANGE 11:917-924,Impact of woody encroachment on soil organic carbon and nitrogen in abandoned agricultural lands along a rainfall gradient in Italy,4/4/2018,Soil only,,,,
SCC,5152,0,1,Zhang,2011,yes,1,FOREST ECOLOGY AND MANAGEMENT 262:361-369,"Links between plant diversity, carbon stocks and environmental factors along a successional gradient in a subalpine coniferous forest in Southwest China",4/4/2018,,,,,
,5196,0,0,Brearley,2011,yes,1,JOURNAL OF TROPICAL ECOLOGY27:413-420,Below-ground secondary succession in tropical forests of Borneo,4/5/2018,,older forests,,,
