"FROM","site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential.duplicates.manual","duplicate.notes","NEW_RECORD","OLD_RECORD"
"ForC",1258,"Milpa",NA,NA,"","NAC","Alajuela","Costa Rica",10.2865,-84.1761,"937",NA,"20.4","NAC","NAC","5002",NA,"NAC","NAC","NAC","NAC","Entisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1308,"Cifuentes-Jara_2008_abae","",NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2555,"Milpa",NA,NA,NA,"NAC","Alajuela","Costa Rica",10.2865,-84.1761,"937",NA,"20.4","NAC","NAC","5002",NA,"","NaN","NaN","NaN"," Entisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13950",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1268,"Molienda slash-and-burned forest recovery chronosequence",NA,NA,"","Bolpebra","Pando","Bolivia",-11.441,-69.158,"NAC",NA,"24.78","NAC","NAC","1800",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"538","Neotropics","Am","Tropical rainforest",38,"Broadbent_2014_isas","",NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2227,"Molienda slash-and-burned forest recovery chronosequence",NA,NA,NA,"NAC","Pando","Bolivia",-11.441111,-69.158333,"NAC",NA,"NAC","NAC","NAC","1800",NA,"50.32.17","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 19",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1310,"Naranjo",NA,NA,"","NAC","Guanacaste","Costa Rica",10.7992,-85.6485,"23",NA,"27.6","NAC","NAC","1630",NA,"NAC","NAC","NAC","NAC","Entisol",NA,"NAC",NA,"69","Neotropics","Aw","Tropical moist forest",1267,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,34,"7","NAC",NA,"",FALSE,FALSE
"GROA",2575,"Naranjo",NA,NA,NA,"NAC","Guanacaste","Costa Rica",10.7992,-85.6485,"23",NA,"27.6","NAC","NAC","1630",NA,"","NaN","NaN","NaN"," Entisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13909",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1322,"Niah River Chronosequence III",NA,NA,"","NAC","Sarawak","Malaysia",3.583,113.583,"NAC",NA,"26.57","NAC","NAC","3749",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"559","IndoMalay","Af","Tropical rainforest",184,"Jepsen_2006_acsi",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2395,"Niah River Chronosequence III",NA,NA,NA,"NAC","Sarawak","Malaysia",3.583333,113.583333,"NAC",NA,"26.57","NAC","NAC","3749",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 303",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1324,"Nicolas Bravo",NA,NA,"","Yucatan","Quintana Roo","Mexico",18.45,-88.93,"NAC",NA,"25","NAC","NAC","1114",NA,"NAC","NAC","NAC","NAC","NAC","Regionally, soils are shallow, calcareous, and highly permeable due to organic matter content and under- lying limestone bedrock.","NAC",NA,"561","Neotropics","Aw","Tropical moist forest",366,"Read_2003_robf",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2344,"Nicolas Bravo",NA,NA,NA,"NAC","Quintana Roo","Mexico",18.45,-88.933333,"120",NA,"25","NAC","NAC","1150",NA,"35.35.30","NaN","NaN","NaN","Lithosol-redzina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 294",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
