"plot.id","sites.sitename","plot.name","plot.area","establishment.ID","year.establishment.oldest.trees","regrowth.ID","regrowth.type","regrowth.year","dist.mrs.ID","distmrs.type","mortality","distmrs.yr","dist.additional.mrs.ID","prior.history.ID","dist1.ID","dist1.type","dist1.mort","dist1.year","dist2.ID","dist2.type","dist2.mort","dist2.year","additional.dist.ID","management.CO2.ID","management.temperature.ID","management.hydrology.ID","management.nutrients.ID","management.biota.ID","management.other.ID"
1907,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.30y","NAC",1907.04,"1998",1907.03,"Initiation of post-disturbance cohort (natural)","1998",1907.02,"Grazed","100","1950",1907.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1908,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.36y","NAC",1908.04,"1965",1908.03,"Initiation of post-disturbance cohort (natural)","1965",1908.02,"Grazed","100","1950",1908.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1909,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.3y","NAC",1909.04,"1998",1909.03,"Initiation of post-disturbance cohort (natural)","1998",1909.02,"Grazed","100","1950",1909.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1910,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.4y","NAC",1910.04,"1997",1910.03,"Initiation of post-disturbance cohort (natural)","1997",1910.02,"Grazed","100","1950",1910.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1911,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.5y","NAC",1911.04,"1996",1911.03,"Initiation of post-disturbance cohort (natural)","1996",1911.02,"Grazed","100","1950",1911.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1913,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.7y","NAC",1913.04,"1994",1913.03,"Initiation of post-disturbance cohort (natural)","1994",1913.02,"Grazed","100","1950",1913.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1915,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.9y","NAC",1915.04,"1992",1915.03,"Initiation of post-disturbance cohort (natural)","1992",1915.02,"Grazed","100","1950",1915.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1940,"Principe","Tropical Dry Forest recovery following pasture abandonment","NAC",1940.03,"NI",1940.02,"Initiation of post-disturbance cohort (natural)","NI",1940.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1943,"Pumilio","Tropical Wet Forest recovery following pasture abandonment","NAC",1943.03,"NI",1943.02,"Initiation of post-disturbance cohort (natural)","NI",1943.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1969,"Quesera","Tropical Moist Forest recovery following pasture abandonment","NAC",1969.03,"NI",1969.02,"Initiation of post-disturbance cohort (natural)","NI",1969.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2009,"Rio Negro age sequence","Forest recovery following cutting and burning","NAC",2009.04,"1977",2009.03,"Initiation of post-disturbance cohort (natural)","1976.915301",2009.02,"Burned","100","1976.915301",2009.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2037,"S village Karen area swidden cultivation fallow chronosequence","Forest recovery following shifting cultivation.1-y","NAC",2037.03,"2001",2037.02,"Initiation of post-disturbance cohort (natural)","2001",2037.01,"Cultivation","100","2000",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2038,"S village Karen area swidden cultivation fallow chronosequence","Forest recovery following shifting cultivation.10-y","NAC",2038.03,"1992",2038.02,"Initiation of post-disturbance cohort (natural)","1992",2038.01,"Cultivation","100","1982",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2039,"S village Karen area swidden cultivation fallow chronosequence","Forest recovery following shifting cultivation.15-y","NAC",2039.03,"1987",2039.02,"Initiation of post-disturbance cohort (natural)","1987",2039.01,"Cultivation","100","1972",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2040,"S village Karen area swidden cultivation fallow chronosequence","Forest recovery following shifting cultivation.18-y","NAC",2040.03,"1984",2040.02,"Initiation of post-disturbance cohort (natural)","1984",2040.01,"Cultivation","100","1966",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2041,"S village Karen area swidden cultivation fallow chronosequence","Forest recovery following shifting cultivation.2-y","NAC",2041.03,"2000",2041.02,"Initiation of post-disturbance cohort (natural)","2000",2041.01,"Cultivation","100","1998",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2042,"S village Karen area swidden cultivation fallow chronosequence","Forest recovery following shifting cultivation.40-y","NAC",2042.03,"1962",2042.02,"Initiation of post-disturbance cohort (natural)","1962",2042.01,"Cultivation","100","1922",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2043,"S village Karen area swidden cultivation fallow chronosequence","Forest recovery following shifting cultivation.5-y","NAC",2043.03,"1997",2043.02,"Initiation of post-disturbance cohort (natural)","1997",2043.01,"Cultivation","100","1992",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2052,"Sa S14","Tree and bush savanna recovery after clear-cut","1",2052.03,"1982",2052.02,"Initiation of post-disturbance cohort (natural)","1982",2052.01,"Cut","100","1982",0,0,2052.04,"Grazed","NI","NI",0,NA,NA,NA,0,0,0,0,0,0,0
2053,"Sabalo","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",2053.03,"NI",2053.02,"Initiation of post-disturbance cohort (natural)","NI",2053.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2107,"Santa Teresa","Tropical Moist Forest recovery following pasture abandonment","NAC",2107.03,"NI",2107.02,"Initiation of post-disturbance cohort (natural)","NI",2107.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2162,"SAT 1000","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",2162.03,"NI",2162.02,"Initiation of post-disturbance cohort (natural)","NI",2162.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2163,"SAT 900","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",2163.03,"NI",2163.02,"Initiation of post-disturbance cohort (natural)","NI",2163.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
2194,"SHO 750","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",2194.03,"NI",2194.02,"Initiation of post-disturbance cohort (natural)","NI",2194.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
