"history.ID","sites.sitename","plot.name","plot.area","event.sequence","date","date.loc","hist.cat","hist.type","est.regrowth.assumed.same.year","level","units","percent.mortality","hist.notes","plothistory.ID.v1","X","NEW_RECORD","GROA.site.ID","GROA.plot.ID"
790.03,"Erastvere","Forest recovery following agricultural abandonment","NAC",3,"1964",8,"Establishment","Establishment of oldest trees","1",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
812.01,"Fazenda Vitoria 2","Forest recovery following clear-cut and pasture","NI",1,"NI",9,"Disturbance","Cut",NA,"100","%","100","the second-growth site had been cleared of forest, pasture for ~10 yr, abandoned in 1981",5670,NA,FALSE,NA,NA
812.02,"Fazenda Vitoria 2","Forest recovery following clear-cut and pasture","NI",2,"1971",8,"Disturbance","Grazed",NA,"NI","NI","100","the second-growth site had been cleared of forest, pasture for ~10 yr, abandoned in 1981",5671,NA,FALSE,NA,NA
812.03,"Fazenda Vitoria 2","Forest recovery following clear-cut and pasture","NI",3,"1981",8,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"the second-growth site had been cleared of forest, pasture for ~10 yr, abandoned in 1981",5672,NA,FALSE,NA,NA
815.01,"Fazenda Vitoria","Forest recovery following 1984 pasture abandonment","NAC",1,"1971",8,"Disturbance","Grazed",NA,"2","animals ha-1","100","seeded with Panicum maximum",682,NA,FALSE,NA,NA
815.02,"Fazenda Vitoria","Forest recovery following 1984 pasture abandonment","NAC",2,"1971",8,"Management","Seeded_agriculture",NA,NA,NA,NA,"Panicum maximum",683,NA,FALSE,NA,NA
815.03,"Fazenda Vitoria","Forest recovery following 1984 pasture abandonment","NAC",3,"1984",8,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,NA,684,NA,FALSE,NA,NA
815.04,"Fazenda Vitoria","Forest recovery following 1984 pasture abandonment","NAC",4,"1993",8,"Disturbance","Burned",NA,NA,NA,"<100%","accidental fires",685,NA,FALSE,NA,NA
815.05,"Fazenda Vitoria","Forest recovery following 1984 pasture abandonment","NAC",5,"1993",8,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,686,NA,FALSE,NA,NA
829.01,"Firebreaks","Tropical Dry Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
